author,alias,title,date,ip,city,country,ups,downs,comments,url
bboy0223,,[影音] CocaNButter - 'Mi Deh Yah' MV Teaser,2022-10-01 23:58:30,118.167.3.134,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664639914.A.EF6.html
lucy9422,chiaya,Fw: [情報] toasterz - toasterz vol 1.0,2022-10-05 21:10:12,36.231.121.143,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664975413.A.AFE.html
usenwo,,[影音] SuperM 'Jopping' Camerawork Guide,2022-10-05 21:09:46,27.53.26.95,,Taiwan,3,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664975388.A.4E6.html
TWGFDOMGW,OMBD,[影音] 李彩演-exposition,2022-10-07 00:18:03,36.232.168.152,Taichung,Taiwan,3,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665073085.A.E71.html
Im22Yo,Beautiful Wanna One,[情報] 金湯匙 OST Part.3 - Kevin Oh,2022-10-08 17:02:12,101.139.98.184,,Taiwan,3,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665219736.A.5AC.html
Im22Yo,Beautiful Wanna One,[影音] Stray Kids - CASE 143 [BE ORIGINAL],2022-10-09 23:02:16,101.138.90.243,,Taiwan,8,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665327738.A.41F.html
johnny40615,豆?,[影音] 221009 SBS 人氣歌謠,2022-10-09 19:51:36,36.224.131.87,New Taipei,Taiwan,11,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665316298.A.581.html
angelak765,Wandering,[情報] Dept - Obliviate,2022-10-09 18:22:59,42.77.82.147,Kaohsiung City,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665310984.A.1E8.html
Im22Yo,Beautiful Wanna One,[影音] 洧彬 - On Rainy Days (cover) ft.MIMI,2022-10-09 14:58:29,101.138.90.243,,Taiwan,4,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665298711.A.CA7.html
pkkcyc,,[情報] YouTube MV點閱排行(2022 10.02~10.08),2022-10-09 14:13:53,36.227.194.82,New Taipei,Taiwan,3,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665296035.A.63C.html
tycousin,500元,[影音] 221008 JTBC K-909 E03,2022-10-08 21:36:15,114.47.189.43,New Taipei,Taiwan,17,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665236177.A.450.html
tyxyht,,"[影音] SEULGI - Bad Boy, Sad Girl (ft. BE'O)",2022-10-08 21:17:23,123.194.152.173,New Taipei,Taiwan,17,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1665235045.A.B58.html
