,author,alias,title,date,ip,city,country,ups,downs,comments,url,file,seg_text,seg_pos,tag
0,bboy0223,,[影音] CocaNButter - 'Mi Deh Yah' MV Teaser,2022-10-01 23:58:30,118.167.3.134,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664639914.A.EF6.html,KoreanPop_2022_10,影音,Na,影音
1,lucy9422,chiaya,Fw: [情報] toasterz - toasterz vol 1.0,2022-10-05 21:10:12,36.231.121.143,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664975413.A.AFE.html,KoreanPop_2022_10,情報 1.0,Na Neu,情報
2,usenwo,,[影音] SuperM 'Jopping' Camerawork Guide,2022-10-05 21:09:46,27.53.26.95,,Taiwan,3,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664975388.A.4E6.html,KoreanPop_2022_10,影音,Na,影音
3,TWGFDOMGW,OMBD,[影音] 李彩演-exposition,2022-10-07 00:18:03,36.232.168.152,Taichung,Taiwan,3,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665073085.A.E71.html,KoreanPop_2022_10,影音 李彩演,Na Nb,影音
4,Im22Yo,Beautiful Wanna One,[情報] 金湯匙 OST Part.3 - Kevin Oh,2022-10-08 17:02:12,101.139.98.184,,Taiwan,3,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665219736.A.5AC.html,KoreanPop_2022_10,情報  金 湯匙,Na Na Na,情報
5,Im22Yo,Beautiful Wanna One,[影音] Stray Kids - CASE 143 [BE ORIGINAL],2022-10-09 23:02:16,101.138.90.243,,Taiwan,8,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665327738.A.41F.html,KoreanPop_2022_10,影音,Na,影音
6,johnny40615,豆?,[影音] 221009 SBS 人氣歌謠,2022-10-09 19:51:36,36.224.131.87,New Taipei,Taiwan,11,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665316298.A.581.html,KoreanPop_2022_10,影音 人氣 歌謠,Na Na Na,影音
7,angelak765,Wandering,[情報] Dept - Obliviate,2022-10-09 18:22:59,42.77.82.147,Kaohsiung City,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665310984.A.1E8.html,KoreanPop_2022_10,情報,Na,情報
8,Im22Yo,Beautiful Wanna One,[影音] 洧彬 - On Rainy Days (cover) ft.MIMI,2022-10-09 14:58:29,101.138.90.243,,Taiwan,4,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665298711.A.CA7.html,KoreanPop_2022_10,影音  洧彬,Na Nb,影音
9,pkkcyc,,[情報] YouTube MV點閱排行(2022 10.02~10.08),2022-10-09 14:13:53,36.227.194.82,New Taipei,Taiwan,3,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665296035.A.63C.html,KoreanPop_2022_10,情報 點閱 排行 2022,Na VC VG Neu,情報
10,tycousin,500元,[影音] 221008 JTBC K-909 E03,2022-10-08 21:36:15,114.47.189.43,New Taipei,Taiwan,17,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665236177.A.450.html,KoreanPop_2022_10,影音,Na,影音
11,tyxyht,,"[影音] SEULGI - Bad Boy, Sad Girl (ft. BE'O)",2022-10-08 21:17:23,123.194.152.173,New Taipei,Taiwan,17,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1665235045.A.B58.html,KoreanPop_2022_10,影音,Na,影音
12,Im22Yo,Beautiful Wanna One,[情報] Blind OST Part.2 - 鄭弘壹,2022-10-08 17:06:14,101.139.98.184,,Taiwan,2,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1665219978.A.A6B.html,KoreanPop_2022_10,情報 鄭弘壹,Na Nb,情報
13,yukihira,△_▲△,[情報] JOJO漫畫世界 OST Part1 - Chuu(本月少女,2022-10-08 17:04:45,49.158.101.59,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665219887.A.12B.html,KoreanPop_2022_10,情報 漫畫 世界 1 - Chuu 本 月 少女,Na Na Nc Neu Nes Na Na,情報
14,johnny40615,豆?,[影音] 221008 MBC Show!音樂中心,2022-10-08 16:13:03,36.224.131.87,New Taipei,Taiwan,6,0,3,https://www.ptt.cc/bbs/KoreanPop/M.1665216787.A.8EA.html,KoreanPop_2022_10,影音 音樂 中心,Na Na Nc,影音
15,bboy0223,,[影音] (G)I-DLE Stage Cam @ 大學慶典,2022-10-08 16:12:18,118.167.3.134,New Taipei,Taiwan,7,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1665216741.A.D6D.html,KoreanPop_2022_10,影音 I-DLE Stage 大學 慶典,Na Nb Nc Na,影音
16,Cchild,古戰逃兵,[LIVE] 221008 2022 THE FACT MUSIC AWARDS,2022-10-08 16:02:19,180.177.102.22,New Taipei,Taiwan,77,0,68,https://www.ptt.cc/bbs/KoreanPop/M.1665216143.A.44A.html,KoreanPop_2022_10,,,LIVE
17,tycousin,500元,[影音] TREASURE - HELLO 接力舞蹈,2022-10-08 15:26:02,114.47.189.43,New Taipei,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665213964.A.394.html,KoreanPop_2022_10,影音 接力 舞蹈,Na VA Na,影音
18,lucy9422,chiaya,Fw: [情報] 五月五日 - Nightmare,2022-10-08 11:52:36,111.71.213.98,New Taipei,Taiwan,5,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1665201157.A.F4D.html,KoreanPop_2022_10,情報 五月 五日  - ,Na Nd Nd Nb,情報
19,johnny40615,豆?,[影音] 221007 ArirangTV Simply K-Pop,2022-10-07 23:17:12,36.224.131.87,New Taipei,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665155836.A.F0C.html,KoreanPop_2022_10,影音,Na,影音
20,meimeibear,粉圓冰,"[影音] T1xRaiden,THE BOYZ Last Man StandingMV",2022-10-07 21:04:57,114.45.28.22,New Taipei,Taiwan,5,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1665147899.A.C04.html,KoreanPop_2022_10,影音,Na,影音
21,nccucat, ,[影音] mimiirose - 'Savage' cover,2022-10-07 19:41:41,1.165.45.92,Taichung,Taiwan,4,0,4,https://www.ptt.cc/bbs/KoreanPop/M.1665142903.A.4FA.html,KoreanPop_2022_10,影音,Na,影音
22,wisholly,焰火星,[影音] 2022 昌原 K-Pop World Festival,2022-10-07 18:39:04,123.194.106.242,New Taipei,Taiwan,4,0,15,https://www.ptt.cc/bbs/KoreanPop/M.1665139146.A.D8C.html,KoreanPop_2022_10,影音  2022 昌原  K-Pop,Na Nb Nb Nb,影音
23,newsun1997,NewSun,[影音] K-Culture Festival 2022 | THE-K CONCER,2022-10-07 18:36:43,150.117.150.12,New Taipei,Taiwan,5,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1665139005.A.B5A.html,KoreanPop_2022_10,影音  K-Culture,Na Nb,影音
