,word,counts
0,討論,43
1,我,25
2,問,25
3,刷,27
4,題,24
5,強者,22
6,實務,22
7,表現,25
8,心得,12
9,建議,5
10,試試,5
11,新創,7
12,公司,10
13,請益,57
14,非,10
15,本,9
16,科,9
17,卡,1
18,最大化,2
19,工作,7
20,成果,2
21,轉職仔,1
22,選擇,2
23,徵才,9
24,內,2
25,推,2
26,阿聯,2
27,企業,2
28,情報,3
29,金融,3
30,科技,2
31,自動,2
32,交易,3
33,訓練班,3
34,政府,2
35,補助,2
36,遠距,2
37,推薦,2
38,群組,1
39,歡迎,1
40,加入,1
41,本科,1
42,第一,2
43,份,2
44,問題,2
45,代,3
46,想,2
47,找,1
48,轉職,4
49,差,3
50,很多,3
51,英諾瓦,1
52,資訊,1
53,博弈業,2
54,相關,3
55,疑問,2
56,面試,4
57,2022),1
58,就業,2
59,準備,1
60,方向,2
61,贈送,1
62,程式,2
63,書籍,1
64,徵求,1
65,北商大,1
66,會計,1
67,資訊系,1
68,陸裕豪,1
69,老師,1
70,誠徵,2
71,兼任,1
72,研究,4
73,助理,2
74,徵,3
75,算是,4
76,一,4
77,個,4
78,合格,4
79,業界,2
80,遇到,2
81,這,3
82,種,2
83,處理,2
84,離職,1
85,理由,1
86,應答,1
87,實際,1
88,時,2
89,不同,1
90,大,3
91,廠,1
92,程式碼,1
93,有,2
94,效率,1
95,後,2
96,端,2
97,考照,1
98,網際,1
99,優勢,1
100,家,1
101,年,5
102,前,5
103,資工,6
104,畢業生,5
105,留在,5
106,軟體業,7
107,多,5
108,作業,1
109,遠端,1
110,前端,1
111,全,1
112,網頁,2
113,工程師,5
114,各位,1
115,設計師,2
116,節,1
117,快樂,1
118,遊戲,1
119,開發,1
120,50,1
121,問卷,2
122,中小企業,1
123,主管,1
124,工作者,2
125,生活,1
126,品質,1
127,區塊鏈,1
128,轉,1
129,台灣,1
130,軟體,3
131,薪資,2
132,待遇,1
133,美國,2
134,實習,1
135,正職,1
136,求職,3
137,結構,1
138,移居,2
139,中國,2
140,大陸,2
141,闖,2
142,天下,2
143,誰,2
144,利,2
145,劍,2
146,碩,1
147,日間,1
148,在職,1
149,居家,1
150,睡眠,1
151,現在,1
152,生態,1
153,適合,1
154,用,1
155,生產,1
156,環境,1
157,虛擬機,1
158,海投,1
159,小,1
160,請問,1
161,資策會,1
162,數據,1
163,班,1
164,林試所,1
165,科技部,1
166,計畫,1
167,碩士級,1
168,美商,2
169,無極,1
170,資本,1
171,公告,1
172,無關,1
173,軟體版,1
174,進行,1
175,刪文,1
176,產品人,1
177,坑,1
178,(,1
179,三,2
180,危險,1
181,深水,1
182,款,1
183,好用,1
184,繪圖,1
185,工具,1
186,系統,1
187,架構,1
188,流程圖,1
189,截圖,1
190,標記,1
191,列入,2
192,學校,2
193,必修,2
194,職訓,1
195,證券,1
196,期貨,1
197,人才,1
198,職涯,1
199,發展,1
200,覺得,1
201,自己,1
202,成長,1
203,語言,2
204,錄取,1
205,做,1
206,員工,1
207,跳槽,1
208,對手,1
209,前經理,1
210,涉竊,1
211,密,1
212,30,1
213,新,1
214,信邦,1
215,捷而思,1
